,i68,i95,i99,sigma2,sigma3,peak_factor,si68,si95,start_time,noise_class,classification_reason
2024-03-19 00:00:00,4.894826775633007,10.78831506108829,18.35116501927301,2.2040238716503158,3.7490938618353473,1.7010223482870555,0.9683533259020566,1.0062564410448804,2024-03-19T00:00:00.000000Z,NC3,Moderate Kurtosis
2024-03-19 00:01:00,5.890044848130179,13.70055480909341,48.78811924008687,2.32605271476714,8.28314902484569,3.5610323756892637,1.001679076892383,1.0331389604307613,2024-03-19T00:01:00.000000Z,NC4,Strong Kurtosis
2024-03-19 00:02:00,6.043622589307712,13.966116141918157,31.54467705591965,2.3108848932140145,5.219498171796503,2.25865779257276,1.0142531014874125,1.0274231366072344,2024-03-19T00:02:00.000000Z,NC4,Strong Kurtosis
2024-03-19 00:03:00,6.020666882727527,12.966214778913626,38.65531298591265,2.153617702403023,6.420437094237762,2.981233432040325,0.9814065020343183,1.0178513133916622,2024-03-19T00:03:00.000000Z,NC4,Strong Kurtosis
2024-03-19 00:04:00,5.74233987481197,12.173909307086497,24.43201632715963,2.1200259079901858,4.254714429970874,2.006916242832335,1.0051396240986523,1.0105302634498468,2024-03-19T00:04:00.000000Z,NC4,Strong Kurtosis
2024-03-19 00:05:00,5.647748428759309,11.946973891566183,24.194133140837806,2.1153516383148605,4.283854609677213,2.0251264764140275,1.02700256096954,1.0107413413303643,2024-03-19T00:05:00.000000Z,NC4,Strong Kurtosis
2024-03-19 00:06:00,5.763153308804407,12.475299865712035,71.51289258595847,2.1646656261344703,12.408639637732309,5.732358609071143,1.0019934181850316,0.9928845251815626,2024-03-19T00:06:00.000000Z,NC4,Strong Kurtosis
2024-03-19 00:07:00,5.916280007130892,14.023874823010242,36.39182796349345,2.3703872714116416,6.151133468941697,2.5949909295954408,1.0093512697484959,0.9590174351739285,2024-03-19T00:07:00.000000Z,NC4,Strong Kurtosis
2024-03-19 00:08:00,6.288221337197095,14.694337921811847,66.7196557816772,2.3368035464797563,10.610258800371163,4.540500983214799,1.0081630792575353,0.9367634443690892,2024-03-19T00:08:00.000000Z,NC4,Strong Kurtosis
2024-03-19 00:09:00,6.187768345651988,14.963857231044557,89.20460817340096,2.4182962895757623,14.416281151844206,5.9613378286137255,1.0014826995756094,1.0430914887230767,2024-03-19T00:09:00.000000Z,NC4,Strong Kurtosis
