Date,dvv,std
2019-07-16,-0.02865212751292505,0.010271101747207143
2019-07-17,-0.028122050446122118,0.009108488467033675
2019-07-18,-0.02726091374394532,0.008577123138694628
2019-07-19,-0.025681367292089207,0.009303290018652034
2019-07-20,-0.025753219036618008,0.00872497809139361
2019-07-21,-0.025987233642978735,0.008442048198546366
2019-07-22,-0.025294882330860417,0.00835172994342165
2019-07-23,-0.025373601115128774,0.007884332492893728
2019-07-24,-0.025262787136951566,0.0077742388471750395
2019-07-25,-0.0250162572621903,0.007383394303759376
2019-07-26,-0.02505702639319328,0.007196579267860921
2019-07-27,-0.024548341577295556,0.007229998791033069
2019-07-28,-0.024509500636614463,0.0071616842134755035
2019-07-29,-0.02495821524877945,0.006957550791513706
2019-07-30,-0.02514412294223384,0.006878593045404049
2019-07-31,-0.024506163515854218,0.006464059171852072
2019-08-01,-0.024312909269389966,0.006469338573161374
2019-08-02,-0.02393722522415845,0.006297190697477888
2019-08-03,-0.024079739739965578,0.0060324459303039086
2019-08-04,-0.024407566614087814,0.0060666971531457255
2019-08-05,-0.0243469656867325,0.005778254510425575
2019-08-06,-0.024955625587198327,0.005684981867398052
2019-08-07,-0.025434055794892416,0.005847814455090451
2019-08-08,-0.02524312711751893,0.006007593908864495
2019-08-09,-0.0254089358459684,0.0062068451644181006
2019-08-10,-0.025357474534440826,0.006047585129533587
2019-08-11,-0.02456272670788659,0.0059588107117630506
2019-08-12,-0.02496152946709737,0.005979140124145544
2019-08-13,-0.025405601190190048,0.006293041132949154
2019-08-14,-0.02601465445095624,0.00675342406251478
2019-08-15,-0.026525432633953645,0.007274187140969116
2019-08-16,-0.026927555927503923,0.007346908856170578
2019-08-17,-0.02765348580888989,0.007920971314958359
2019-08-18,-0.02789255602453509,0.008117722081675088
2019-08-19,-0.028003310163517384,0.008265544313895897
2019-08-20,-0.028204943180145034,0.008353040044597195
2019-08-21,-0.028495712862483803,0.008631724965735405
2019-08-22,-0.028624552868146056,0.008959684661846162
2019-08-23,-0.028774472572997627,0.009600298259099466
2019-08-24,-0.028852055235882548,0.010181215089214888
2019-08-25,-0.02883539531343517,0.010317679065932209
2019-08-26,-0.029069519493043233,0.011212053548692575
2019-08-27,-0.028695615739836422,0.01127928130837719
2019-08-28,-0.027912860720473096,0.011063427598417053
2019-08-29,-0.026977263795326858,0.011152551648067643
2019-08-30,-0.021832290909698408,0.007254573745614739
2019-08-31,-0.02110781822010897,0.006958336401223287
2019-09-01,-0.020509241560715485,0.006855782261715178
2019-09-02,-0.018431424368560517,0.010145823985063852
2019-09-03,-0.017834301224618283,0.011538705360407426
2019-09-04,-0.016225504773954066,0.018430031459376803
2019-09-05,-0.014275389077281958,0.018853003620850132
2019-09-06,-0.011498208335251683,0.023742686789926828
2019-09-07,-0.011199701246744284,0.02407974727375657
2019-09-08,-0.011015636120860714,0.024060174819360455
2019-09-09,-0.010970727706831801,0.02372375535017763
2019-09-10,-0.010939734336262275,0.023931331280338426
2019-09-11,-0.01102672127927632,0.02392118659513461
2019-09-12,-0.011333821621049385,0.023926316554477745
2019-09-13,-0.011794886840199586,0.02387725934469861
2019-09-14,-0.012220734068725635,0.023949354718686287
2019-09-15,-0.012272007656069589,0.024010738717207235
2019-09-16,-0.012411620492824182,0.023341185526107613
2019-09-17,-0.013799895241286156,0.02021998039971679
2019-09-18,-0.013539777970360843,0.020390912922130248
