Date,dvv,std
2019-07-16,-0.019814610597755914,0.011950705354530198
2019-07-17,-0.020641085826932862,0.00943224706466994
2019-07-18,-0.019451584705531953,0.009329619999719664
2019-07-19,-0.0190024973651292,0.010172226631426117
2019-07-20,-0.018510691962716336,0.010293062246288866
2019-07-21,-0.018732310202224548,0.010529015080188114
2019-07-22,-0.01843310447755237,0.01054611119464847
2019-07-23,-0.019004615149374432,0.010659125754587481
2019-07-24,-0.019023184709389913,0.010489483165188714
2019-07-25,-0.019774919563488702,0.010545360555410235
2019-07-26,-0.01960784475925032,0.010473352865527044
2019-07-27,-0.019412857285380468,0.010946897216799771
2019-07-28,-0.019589630952971854,0.011355156116149128
2019-07-29,-0.019975974768361857,0.011005080067897651
2019-07-30,-0.020098302134411553,0.01094249692082915
2019-07-31,-0.02023520045596521,0.01106461909177751
2019-08-01,-0.02022507756897585,0.011099388028905227
2019-08-02,-0.01989958517049924,0.010809367915805447
2019-08-03,-0.01957379988932616,0.010443906231310132
2019-08-04,-0.019453791794395808,0.010541238112602349
2019-08-05,-0.018660202656709583,0.010099557523265036
2019-08-06,-0.018378097631949034,0.00949417344047481
2019-08-07,-0.017851250453809666,0.009201051766565407
2019-08-08,-0.017750233888836498,0.009454115292880058
2019-08-09,-0.01716592700695244,0.009341846133877766
2019-08-10,-0.01761376003390455,0.009235920840065501
2019-08-11,-0.017534287801678664,0.009154153916755036
2019-08-12,-0.01748817489472069,0.00864647255136236
2019-08-13,-0.017425531944690226,0.008623637121546401
2019-08-14,-0.017508509613157197,0.008720767367293497
2019-08-15,-0.01694980635905364,0.00935713773493165
2019-08-16,-0.016771283664333458,0.009209659966264683
2019-08-17,-0.01702489326627442,0.009499865470595283
2019-08-18,-0.017504778715407985,0.009690404606806993
2019-08-19,-0.017259636884654768,0.009783852973040559
2019-08-20,-0.017589738185402787,0.009865059491649036
2019-08-21,-0.017712272996879642,0.010369422902362785
2019-08-22,-0.017666057606115834,0.01059076657720897
2019-08-23,-0.017543225265454456,0.010832634835851566
2019-08-24,-0.017544501231315447,0.011424840928060585
2019-08-25,-0.017716918357776352,0.011652685257866472
2019-08-26,-0.017649531777620495,0.011442983405379378
2019-08-27,-0.017551028408560935,0.011729377600450664
2019-08-28,-0.017424644910379008,0.012273309253927238
2019-08-29,-0.0170921833550346,0.012371335535431403
2019-08-30,-0.01694095393405882,0.01280919093259836
2019-08-31,-0.017206384516054937,0.013574378559155954
2019-09-01,-0.017252145015984013,0.014418060514139856
2019-09-02,-0.016958352086562694,0.014363175011790467
2019-09-03,-0.017324418476354717,0.01462353796417889
2019-09-04,-0.017430607999049615,0.01443626154870585
2019-09-05,-0.017228109428537725,0.014277939503547955
